Sr. No.,JOB NAME,JOB DESCRIPTION,Server Name,Script path,Script Name, Job Parameter ,"Filewatcher details
(OR)
Command Line (Only for perl/powershell scripts)","Execution time and Schedule
(Specific day or Calendar Name)",Job Frequency(Cyclic Interval if any),Job Dependency,Max Run Alarm,Error Codes and Error Messages (only in case of any special instructon based on return code),DL information for failure / max run alerts,Solution queue,Customer name,Environment name,foldername,Application,Sub Application,Created by,prefix_name,Time zone,Shout destination,Alert window,Variable,Server timezone,Sub_Product
BDG_LM1,BDG_LM_START_BATCH,Start Load Master Data Batch,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_START_BATCH,,22:30,,BDG_SM_END_BATCH,1,,,SC,LAVAZZA,TEST,CS_LAVAZZA_SCPO_BDG_TEST,LAVAZZA_SCPO_BDG_CET_TEST,TEST_BDG_LM-BDG_LOAD_MASTERDATA,1020246,LAVAZZA_BDG_TEST_BDG_LM-BDG_LOAD_MASTERDATA,CET,TOLAVAZZABDG,EM,LAVAZZABDGFAIL,UTC,BDG
BDG_LM2,BDG_LM_GET_FTP_IMP_DOMAIN,Move IMP_DOMAIN,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_GET_FTP_IMP_DOMAIN,,,,BDG_LM_START_BATCH,5,,,,,,,,,,,,,,,,
BDG_LM3,BDG_LM_LOAD_IMP_DOMAIN,Load IMP_DOMAIN,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_LOAD_IMP_DOMAIN,,,,BDG_LM_GET_FTP_IMP_DOMAIN,5,,,,,,,,,,,,,,,,
BDG_LM4,BDG_LM_SET_LOADED_IMP_DOMAIN,Set loaded IMP_DOMAIN,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_SET_LOADED_IMP_DOMAIN,,,,BDG_LM_LOAD_IMP_DOMAIN,5,,,,,,,,,,,,,,,,
BDG_LM5,BDG_LM_GET_FTP_IMP_ITEM,Move IMP_ITEM,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_GET_FTP_IMP_ITEM,,,,BDG_LM_SET_LOADED_IMP_DOMAIN,5,,,,,,,,,,,,,,,,
BDG_LM6,BDG_LM_LOAD_IMP_ITEM,Load IMP_ITEM,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_LOAD_IMP_ITEM,,,,BDG_LM_GET_FTP_IMP_ITEM,5,,,,,,,,,,,,,,,,
BDG_LM7,BDG_LM_SET_LOADED_IMP_ITEM,Set loaded IMP_ITEM,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_SET_LOADED_IMP_ITEM,,,,BDG_LM_LOAD_IMP_ITEM,5,,,,,,,,,,,,,,,,
BDG_LM8,BDG_LM_GET_FTP_IMP_ITEM_CONV,Move IMP_ITEM_CONV,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_GET_FTP_IMP_ITEM_CONV,,,,BDG_LM_SET_LOADED_IMP_ITEM,5,,,,,,,,,,,,,,,,
BDG_LM9,BDG_LM_LOAD_IMP_ITEM_CONV,Load IMP_ITEM_CONV,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_LOAD_IMP_ITEM_CONV,,,,BDG_LM_GET_FTP_IMP_ITEM_CONV,5,,,,,,,,,,,,,,,,
BDG_LM10,BDG_LM_SET_LOADED_IMP_ITEM_CONV,Set loaded IMP_ITEM_CONV,sl1llststapp5v.jdadelivers.com,D:\JDA\BATCH\job,jdaRunStepCode.cmd,BDG_LOAD_MASTERDATA BDG_LM_SET_LOADED_IMP_ITEM_CONV,,,,BDG_LM_LOAD_IMP_ITEM_CONV,5,,,,,,,,,,,,,,,,
